Symbol,Name,Industry,IndustryCode
VRTS,Virtus Investment Partners Inc,투자은행 및 서비스,551020
ROIC,Retail Opportunity Investments Corp,주택 및 상업용 리츠,601020
EGOV,NIC Inc,소프트웨어 및 IT서비스,572010
HCAT,Health Catalyst Inc,헬스케어 장비 및 용품,561010
SRRK,Scholar Rock Holding Corp,제약,562010
MNRO,Monro Inc,전문품 상점,534030
BANR,Banner Corp,은행,551010
CSWI,CSW Industrials Inc,화학,511010
TBIO,Translate Bio Inc,생명과학 및 메디컬 리서치,562020
BLMN,Bloomin' Brands Inc,호텔 및 엔터테인먼트,533010
PNTG,Pennant Group Inc,헬스케어 업체 및 서비스,561020
DCBO,Docebo Inc,소프트웨어 및 IT서비스,572010
AMWD,American Woodmark Corp,주택건설,532030
NWBI,Northwest Bancshares Inc,은행,551010
PATK,Patrick Industries Inc,주택건설,532030
CATM,Cardtronics PLC Class A,전문 및 상업 서비스,522030
SMCI,Super Micro Computer Inc,"컴퓨터, 전화 및 가전제품",571060
ASO,Academy Sports & Outdoors Inc,전문품 상점,534030
INMD,Inmode Ltd,헬스케어 장비 및 용품,561010
BGCP,BGC Partners Inc Class A,투자은행 및 서비스,551020
HTLF,Heartland Financial USA Inc,은행,551010
SYKE,Sykes Enterprises Inc,소프트웨어 및 IT서비스,572010
SIMO,Silicon Motion Technology Corp ADR,반도체 및 반도체 장비,571010
VCTR,Victory Capital Holdings Inc Class A,투자은행 및 서비스,551020
GLUU,Glu Mobile Inc,소프트웨어 및 IT서비스,572010
PRFT,Perficient Inc,소프트웨어 및 IT서비스,572010
SBCF,Seacoast Banking Corporation of Florida,은행,551010
AAWW,Atlas Air Worldwide Holdings Inc,화물 및 물류 서비스,524050
MGRC,McGrath RentCorp,전문 및 상업 서비스,522030
PGEN,Precigen Inc,생명과학 및 메디컬 리서치,562020
VRTU,Virtusa Corp,소프트웨어 및 IT서비스,572010
PSNL,Personalis Inc,생명과학 및 메디컬 리서치,562020
CSII,Cardiovascular Systems Inc,헬스케어 장비 및 용품,561010
KALU,Kaiser Aluminum Corp,메탈&마이닝,512010
HTLD,Heartland Express Inc,화물 및 물류 서비스,524050
COHU,Cohu Inc,반도체 및 반도체 장비,571010
ROAD,Construction Partners Inc Class A,건설 및 엔지니어링,522010
PAYA,Paya Holdings Inc Class A,전문 및 상업 서비스,522030
SASR,Sandy Spring Bancorp Inc,은행,551010
QTRX,Quanterix Corp,헬스케어 장비 및 용품,561010
SPNS,Sapiens International Corporation NV,소프트웨어 및 IT서비스,572010
RTLR,Rattler Midstream LP Unit,오일 및 가스 장비 및 서비스,501030
ILPT,Industrial Logistics Properties Trust,주택 및 상업용 리츠,601020
LGND,Ligand Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
MYGN,Myriad Genetics Inc,헬스케어 장비 및 용품,561010
ICFI,ICF International Inc,전문 및 상업 서비스,522030
FLWS,1-800-Flowers.Com Inc Class A,전문품 상점,534030
ZEAL,Zealand Pharma A/S ADR,생명과학 및 메디컬 리서치,562020
CENTA,Central Garden & Pet Co Class A,식품 및 담배,541020
TPIC,TPI Composites Inc,재생에너지,502010
RGNX,Regenxbio Inc,생명과학 및 메디컬 리서치,562020
WABC,Westamerica Bancorp,은행,551010
OCUL,Ocular Therapeutix Inc,제약,562010
MLAB,Mesa Laboratories Inc,"건설장비 및 대형차, 기차, 배",521020
MRTN,Marten Transport Ltd,화물 및 물류 서비스,524050
SGRY,Surgery Partners Inc,헬스케어 업체 및 서비스,561020
NYMT,New York Mortgage Trust Inc,주택 및 상업용 리츠,601020
CORE,Core-Mark Holding Company Inc,식품 및 약품소매,543010
CSGS,CSG Systems International Inc,소프트웨어 및 IT서비스,572010
JRVR,James River Group Holdings Ltd,보험,553010
REAL,RealReal Inc,다양한 소매업,534020
TTMI,TTM Technologies Inc,반도체 및 반도체 장비,571010
NBTB,NBT Bancorp Inc,은행,551010
CYTK,Cytokinetics Inc,생명과학 및 메디컬 리서치,562020
ODP,ODP Corp,전문품 상점,534030
HHR,HeadHunter Group PLC ADR,전문 및 상업 서비스,522030
UCTT,Ultra Clean Holdings Inc,반도체 및 반도체 장비,571010
CNST,Constellation Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
ASTE,Astec Industries Inc,"건설장비 및 대형차, 기차, 배",521020
NMRK,Newmark Group Inc Class A,부동산 운영 관리,601010
PCVX,Vaxcyte Inc,생명과학 및 메디컬 리서치,562020
PHAT,Phathom Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
RPTX,Repare Therapeutics Inc,생명과학 및 메디컬 리서치,562020
HPK,Highpeak Energy Inc,오일 및 가스 장비 및 서비스,501030
DOMO,Domo Inc Class B,소프트웨어 및 IT서비스,572010
LKFN,Lakeland Financial Corp,은행,551010
ACMR,ACM Research Inc Class A,반도체 및 반도체 장비,571010
BCRX,BioCryst Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
AMCX,AMC Networks Inc Class A,미디어 및 출판,533020
TRS,TriMas Corp,"건설장비 및 대형차, 기차, 배",521020
SG,Sirius International Insurance Group Ltd,보험,553010
LASR,nLIGHT Inc,반도체 및 반도체 장비,571010
GGAL,Grupo Financiero Galicia SA ADR,은행,551010
EIGI,Endurance International Group Holdings Inc,소프트웨어 및 IT서비스,572010
HOPE,Hope Bancorp Inc,은행,551010
TVTX,Travere Therapeutics Inc,생명과학 및 메디컬 리서치,562020
BLFS,Biolife Solutions Inc,헬스케어 장비 및 용품,561010
HSKA,Heska Corp,헬스케어 장비 및 용품,561010
CVGW,Calavo Growers Inc,식품 및 담배,541020
PUBM,PubMatic Inc Class A,소프트웨어 및 IT서비스,572010
EGBN,Eagle Bancorp Inc,은행,551010
GPRO,GoPro Inc Class A,"컴퓨터, 전화 및 가전제품",571060
SY,So-Young International Inc ADR,소프트웨어 및 IT서비스,572010
CERS,Cerus Corp,헬스케어 장비 및 용품,561010
PRIM,Primoris Services Corp,건설 및 엔지니어링,522010
CHRS,Coherus BioSciences Inc,생명과학 및 메디컬 리서치,562020
CLLS,Cellectis SA ADR,생명과학 및 메디컬 리서치,562020
MSEX,Middlesex Water Co,수도 유틸리티,591030
MGNX,MacroGenics Inc,생명과학 및 메디컬 리서치,562020
VSTA,Vasta Platform Ltd Class A,비즈니스교육,631030
PRTC,PureTech Health PLC ADR,생명과학 및 메디컬 리서치,562020
ORIC,Oric Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
ECPG,Encore Capital Group Inc,은행,551010
UPLD,Upland Software Inc,소프트웨어 및 IT서비스,572010
PASG,Passage Bio Inc,생명과학 및 메디컬 리서치,562020
ARQT,Arcutis Biotherapeutics Inc,생명과학 및 메디컬 리서치,562020
RYTM,Rhythm Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
CCCC,C4 Therapeutics Inc,생명과학 및 메디컬 리서치,562020
EPZM,Epizyme Inc,생명과학 및 메디컬 리서치,562020
TRIL,Trillium Therapeutics Inc,생명과학 및 메디컬 리서치,562020
BDTX,Black Diamond Therapeutics Inc,생명과학 및 메디컬 리서치,562020
ADVM,Adverum Biotechnologies Inc,생명과학 및 메디컬 리서치,562020
MBUU,Malibu Boats Inc Class A,레저 상품,532050
FLGT,Fulgent Genetics Inc,헬스케어 장비 및 용품,561010
FARO,FARO Technologies Inc,전자 장비 및 부품,571040
QRTEP,Qurate Retail Inc PRF,다양한 소매업,534020
XPEL,Xpel Inc,자동차 및 자동차 부품,531010
KNSA,Kiniksa Pharmaceuticals Ltd Class A,생명과학 및 메디컬 리서치,562020
TLND,Talend SA ADR,소프트웨어 및 IT서비스,572010
PLAY,Dave & Buster's Entertainment Inc,호텔 및 엔터테인먼트,533010
VCEL,Vericel Corp,제약,562010
RNA,Avidity Biosciences Inc,제약,562010
RMR,RMR Group Inc Class A,부동산 운영 관리,601010
INSG,Inseego Corp,커뮤니케이션 및 네트워킹,571020
ENDP,Endo International PLC,제약,562010
HIMX,Himax Technologies Inc ADR,반도체 및 반도체 장비,571010
ARVN,Arvinas Inc,생명과학 및 메디컬 리서치,562020
IMGN,ImmunoGen Inc,생명과학 및 메디컬 리서치,562020
TBK,Triumph Bancorp Inc,은행,551010
NK,NantKwest Inc,생명과학 및 메디컬 리서치,562020
NRC,National Research Corp,전문 및 상업 서비스,522030
FORTY,Formula Systems 1985 Ltd ADR,소프트웨어 및 IT서비스,572010
CNXN,PC Connection Inc,"컴퓨터, 전화 및 가전제품",571060
ALEC,Alector Inc,생명과학 및 메디컬 리서치,562020
TBPH,Theravance Biopharma Inc,제약,562010
SLP,Simulations Plus Inc,헬스케어 장비 및 용품,561010
SSP,E. W. Scripps Co Class A,미디어 및 출판,533020
NXGN,NextGen Healthcare Inc,소프트웨어 및 IT서비스,572010
FRTA,Forterra Inc,건축 자재,512020
CSTL,Castle Biosciences Inc,헬스케어 장비 및 용품,561010
GRVY,Gravity Co Ltd ADR,소프트웨어 및 IT서비스,572010
RAVN,Raven Industries Inc,복합 기업,544010
RDWR,Radware Ltd,소프트웨어 및 IT서비스,572010
GTH,Genetron Holdings Ltd ADR,헬스케어 업체 및 서비스,561020
SNDX,Syndax Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
TLS,Telos Corp,소프트웨어 및 IT서비스,572010
HURN,Huron Consulting Group Inc,전문 및 상업 서비스,522030
CASH,Meta Financial Group Inc,은행,551010
VBTX,Veritex Holdings Inc,은행,551010
WIRE,Encore Wire Corp,"건설장비 및 대형차, 기차, 배",521020
BUSE,First Busey Corp,은행,551010
LX,Lexinfintech Holdings Ltd ADR,은행,551010
ZGNX,Zogenix Inc,생명과학 및 메디컬 리서치,562020
SUPN,Supernus Pharmaceuticals Inc,제약,562010
SAFT,Safety Insurance Group Inc,보험,553010
PLUS,ePlus inc,소프트웨어 및 IT서비스,572010
TTCF,Tattooed Chef Inc Class A,기타 금융업,556010
NMFC,New Mountain Finance Corp,다양한 금융서비스,555010
GIII,G-III Apparel Group Ltd,섬유 및 의류,532020
CRTO,Criteo SA ADR,미디어 및 출판,533020
ECOL,US Ecology Inc,전문 및 상업 서비스,522030
OPI,Office Properties Income Trust,주택 및 상업용 리츠,601020
CNDT,Conduent Inc,소프트웨어 및 IT서비스,572010
LMNX,Luminex Corp,헬스케어 장비 및 용품,561010
EBIX,Ebix Inc,소프트웨어 및 IT서비스,572010
ARCB,ArcBest Corp,화물 및 물류 서비스,524050
ATRI,Atrion Corp,헬스케어 장비 및 용품,561010
KPTI,Karyopharm Therapeutics Inc,생명과학 및 메디컬 리서치,562020
MTSC,MTS Systems Corp,"건설장비 및 대형차, 기차, 배",521020
CDXS,Codexis Inc,생명과학 및 메디컬 리서치,562020
KRYS,Krystal Biotech Inc,생명과학 및 메디컬 리서치,562020
AMTI,Applied Molecular Transport Inc.,생명과학 및 메디컬 리서치,562020
GRBK,Green Brick Partners Inc,주택건설,532030
CHCO,City Holding Co,은행,551010
SBTX,Silverback Therapeutics Inc,생명과학 및 메디컬 리서치,562020
EFSC,Enterprise Financial Services Corp,은행,551010
AMSF,Amerisafe Inc,보험,553010
ATNX,Athenex Inc,생명과학 및 메디컬 리서치,562020
QNST,Quinstreet Inc,미디어 및 출판,533020
FREQ,Frequency Therapeutics Inc,생명과학 및 메디컬 리서치,562020
ICPT,Intercept Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
GLNG,Golar LNG Ltd,오일 및 가스 장비 및 서비스,501030
NTGR,NETGEAR Inc,커뮤니케이션 및 네트워킹,571020
CRTX,Cortexyme Inc,생명과학 및 메디컬 리서치,562020
EH,Ehang Holdings Ltd ADR,우주항공 및 국방,521010
TRIT,Triterras Inc Class A,핀테크,573010
FRG,Franchise Group Inc,"개인, 가정 용품 및 서비스",542010
BTAI,BioXcel Therapeutics Inc,생명과학 및 메디컬 리서치,562020
TLRY,Tilray Inc,제약,562010
CENX,Century Aluminum Co,메탈&마이닝,512010
OCFC,OceanFirst Financial Corp,은행,551010
SNEX,Stonex Group Inc,투자은행 및 서비스,551020
TCRR,TCR2 Therapeutics Inc,생명과학 및 메디컬 리서치,562020
QADA,QAD Inc Class A,소프트웨어 및 IT서비스,572010
BATRK,Liberty Media Corp Series C,미디어 및 출판,533020
PTEN,Patterson-UTI Energy Inc,오일 및 가스 장비 및 서비스,501030
DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,601020
INVA,Innoviva Inc,제약,562010
ITOS,Iteos Therapeutics Inc,생명과학 및 메디컬 리서치,562020
OPRA,Opera Ltd ADR,소프트웨어 및 IT서비스,572010
SBSI,Southside Bancshares Inc,은행,551010
QQQX,Nuveen Nasdaq 100 Dynamic Overwrite Fund,다양한 금융서비스,555010
CGEN,Compugen Ltd,생명과학 및 메디컬 리서치,562020
VITL,Vital Farms Inc,식품 및 약품소매,543010
CHY,Calamos Convertible & High Income Fund,다양한 금융서비스,555010
SSYS,Stratasys Ltd,전자 장비 및 부품,571040
MORF,Morphic Holding Inc,제약,562010
SRCE,1st Source Corp,은행,551010
BWMX,Betterware de Mexico SAB de CV,다양한 소매업,534020
OTRK,Ontrak Inc,헬스케어 업체 및 서비스,561020
AKRO,Akero Therapeutics Inc,생명과학 및 메디컬 리서치,562020
TCBK,Trico Bancshares,은행,551010
CIIC,Ciig Merger Corp Class A,기타 금융업,556010
HEES,H&E Equipment Services Inc,전문 및 상업 서비스,522030
FWONA,Liberty Media Corp Series A,미디어 및 출판,533020
GRPN,Groupon Inc,다양한 소매업,534020
RBBN,Ribbon Communications Inc,커뮤니케이션 및 네트워킹,571020
SCWX,SecureWorks Corp Class A,소프트웨어 및 IT서비스,572010
BROG,Brooge Holdings Ltd,오일 및 가스 장비 및 서비스,501030
RDNT,RadNet Inc,헬스케어 업체 및 서비스,561020
LNTH,Lantheus Holdings Inc,헬스케어 장비 및 용품,561010
MYRG,MYR Group Inc,건설 및 엔지니어링,522010
PRVB,Provention Bio Inc,생명과학 및 메디컬 리서치,562020
MCRI,Monarch Casino & Resort Inc,호텔 및 엔터테인먼트,533010
PTNR,Partner Communications Company Ltd ADR,통신 서비스,574010
FBNC,First Bancorp (North Carolina),은행,551010
CHEF,Chefs' Warehouse Inc,식품 및 약품소매,543010
CMCO,Columbus McKinnon Corp,"건설장비 및 대형차, 기차, 배",521020
PLRX,Pliant Therapeutics Inc,제약,562010
GNMK,Genmark Diagnostics Inc,헬스케어 장비 및 용품,561010
NVEE,NV5 Global Inc,건설 및 엔지니어링,522010
AMEH,Apollo Medical Holdings Inc,헬스케어 업체 및 서비스,561020
NBLX,Noble Midstream Partners LP Unit,오일 및 가스 장비 및 서비스,501030
PI,Impinj Inc,반도체 및 반도체 장비,571010
KFRC,Kforce Inc,전문 및 상업 서비스,522030
SYBT,Stock Yards Bancorp Inc,은행,551010
KRNY,Kearny Financial Corp,은행,551010
STBA,S&T Bancorp Inc,은행,551010
CHI,Calamos Convertible Opportunities and Income Fund,다양한 금융서비스,555010
ATEC,Alphatec Holdings Inc,헬스케어 장비 및 용품,561010
ZUMZ,Zumiez Inc,전문품 상점,534030
BRKL,Brookline Bancorp Inc,은행,551010
SHYF,Shyft Group Inc,자동차 및 자동차 부품,531010
ANNX,Annexon Inc,제약,562010
AGYS,Agilysys Inc,소프트웨어 및 IT서비스,572010
STRO,Sutro Biopharma Inc,생명과학 및 메디컬 리서치,562020
AACQ,Artius Acquisition Inc Class A,기타 금융업,556010
HA,Hawaiian Holdings Inc,운송업,524060
IMOS,ChipMOS Technologies Inc ADR,반도체 및 반도체 장비,571010
BLNK,Blink Charging Co,전기 유틸리티,591010
ACLS,Axcelis Technologies Inc,반도체 및 반도체 장비,571010
STKL,Sunopta Inc,식품 및 담배,541020
OSUR,OraSure Technologies Inc,헬스케어 장비 및 용품,561010
TVTY,Tivity Health Inc,헬스케어 업체 및 서비스,561020
ATHA,Athira Pharma Inc,생명과학 및 메디컬 리서치,562020
LCA,Landcadia Holdings II Inc Class A,기타 금융업,556010
PETQ,PetIQ Inc Class A,제약,562010
RILY,B. Riley Financial Inc,투자은행 및 서비스,551020
AMPH,Amphastar Pharmaceuticals Inc,제약,562010
EVER,EverQuote Inc Class A,소프트웨어 및 IT서비스,572010
FANH,Fanhua Inc ADR,보험,553010
JOUT,Johnson Outdoors Inc Class A,레저 상품,532050
VERI,Veritone Inc,소프트웨어 및 IT서비스,572010
IESC,IES Holdings Inc,건설 및 엔지니어링,522010
AVO,Mission Produce Inc,식품 및 담배,541020
IIIV,i3 Verticals Inc Class A,전문 및 상업 서비스,522030
KIDS,OrthoPediatrics Corp,헬스케어 장비 및 용품,561010
MATW,Matthews International Corp Class A,미디어 및 출판,533020
PAE,PAE Inc Class A,우주항공 및 국방,521010
CIICU,Ciig Merger Corp Unit,기타 금융업,556010
CLNE,Clean Energy Fuels Corp,오일 및 가스,501020
SWBI,Smith & Wesson Brands Inc,레저 상품,532050
TRHC,Tabula Rasa HealthCare Inc,헬스케어 장비 및 용품,561010
NNDM,Nano Dimension Ltd ADR,전자 장비 및 부품,571040
AUDC,AudioCodes Ltd,커뮤니케이션 및 네트워킹,571020
TRVG,Trivago NV ADR,소프트웨어 및 IT서비스,572010
SCHL,Scholastic Corp,미디어 및 출판,533020
DYN,Dyne Therapeutics Inc,생명과학 및 메디컬 리서치,562020
DENN,Denny's Corp,호텔 및 엔터테인먼트,533010
GOGO,Gogo Inc,통신 서비스,574010
VNOM,Viper Energy Partners LP Unit,오일 및 가스,501020
MAXN,Maxeon Solar Technologies Ltd,재생에너지,502010
IHRT,iHeartMedia Inc Class A,미디어 및 출판,533020
INGN,Inogen Inc,헬스케어 장비 및 용품,561010
OMER,Omeros Corp,생명과학 및 메디컬 리서치,562020
SIBN,SI-BONE Inc,헬스케어 장비 및 용품,561010
JBSS,John B Sanfilippo & Son Inc,식품 및 담배,541020
GLSI,Greenwich Lifesciences Inc,제약,562010
CEVA,CEVA Inc,반도체 및 반도체 장비,571010
ENTA,Enanta Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
SGH,Smart Global Holdings Inc,반도체 및 반도체 장비,571010
CAMT,Camtek Ltd,반도체 및 반도체 장비,571010
PRDO,Perdoceo Education Corp,교육서비스,631010
GABC,German American Bancorp Inc,은행,551010
IMKTA,Ingles Markets Inc Class A,식품 및 약품소매,543010
HFWA,Heritage Financial Corp,은행,551010
VECO,Veeco Instruments Inc,반도체 및 반도체 장비,571010
HOLI,Hollysys Automation Technologies Ltd,"건설장비 및 대형차, 기차, 배",521020
CALT,Calliditas Therapeutics AB ADR,제약,562010
NESR,National Energy Services Reunited Corp,오일 및 가스 장비 및 서비스,501030
PFC,Premier Financial Corp (OHIO),은행,551010
FFWM,First Foundation Inc,은행,551010
SGTX,Sigilon Therapeutics  Inc.,생명과학 및 메디컬 리서치,562020
AFIN,American Finance Trust Inc Class A,주택 및 상업용 리츠,601020
AEPPZ,American Electric Power Company Inc,전기 유틸리티,591010
VIVO,Meridian Bioscience Inc,헬스케어 장비 및 용품,561010
OSPN,OneSpan Inc,소프트웨어 및 IT서비스,572010
AFIB,Acutus Medical Inc,헬스케어 장비 및 용품,561010
PTGX,Protagonist Therapeutics Inc,생명과학 및 메디컬 리서치,562020
BTWN,Bridgetown Holdings Ltd Class A,기타 금융업,556010
HCAC,Hennessy Capital Acquisition Corp IV Class A,기타 금융업,556010
FORR,Forrester Research Inc,미디어 및 출판,533020
LCAHU,Landcadia Holdings II Inc Unit,기타 금융업,556010
VXRT,Vaxart Inc,생명과학 및 메디컬 리서치,562020
DMRC,Digimarc Corp,소프트웨어 및 IT서비스,572010
MBIN,Merchants Bancorp,은행,551010
ESPR,Esperion Therapeutics Inc,생명과학 및 메디컬 리서치,562020
CNOB,ConnectOne Bancorp Inc,은행,551010
FTOCU,FTAC Olympus Acquisition Corp,기타 금융업,556010
WRLD,World Acceptance Corp,은행,551010
PDFS,PDF Solutions Inc,반도체 및 반도체 장비,571010
TCX,Tucows Inc,소프트웨어 및 IT서비스,572010
TCMD,Tactile Systems Technology Inc,헬스케어 장비 및 용품,561010
SCHN,Schnitzer Steel Industries Inc Class A,메탈&마이닝,512010
GSKY,GreenSky Inc Class A,핀테크,573010
ALBO,Albireo Pharma Inc,생명과학 및 메디컬 리서치,562020
BJRI,BJ's Restaurants Inc,호텔 및 엔터테인먼트,533010
KELYA,Kelly Services Inc Class A,전문 및 상업 서비스,522030
QTT,Qutoutiao Inc ADR,소프트웨어 및 IT서비스,572010
AEPPL,American Electric Power Company Inc,전기 유틸리티,591010
HCACU,Hennessy Capital Acquisition Corp IV Unit,기타 금융업,556010
MGPI,MGP Ingredients Inc,음료,541010
AACQU,Artius Acquisition Inc Unit,기타 금융업,556010
SBLK,Star Bulk Carriers Corp,화물 및 물류 서비스,524050
AGC,Altimeter Growth Corp Class A,기타 금융업,556010
ALTM,Altus Midstream Co Class A,오일 및 가스 장비 및 서비스,501030
OCSL,Oaktree Specialty Lending Corp,다양한 금융서비스,555010
TBBK,Bancorp Inc,은행,551010
RBCAA,Republic Bancorp Inc Class A,은행,551010
OAS,Oasis Petroleum Inc,오일 및 가스,501020
ECHO,Echo Global Logistics Inc,화물 및 물류 서비스,524050
EXTR,Extreme Networks Inc,커뮤니케이션 및 네트워킹,571020
ANDE,Andersons Inc,식품 및 담배,541020
TIGR,UP Fintech Holding Ltd ADR,투자은행 및 서비스,551020
ALGS,Aligos Therapeutics Inc,생명과학 및 메디컬 리서치,562020
FTOC,FTAC Olympus Acquisition Corp Class A,기타 금융업,556010
AMRS,Amyris Inc,화학,511010
EOSE,Eos Energy Enterprises Inc Class A,"건설장비 및 대형차, 기차, 배",521020
KDMN,Kadmon Holdings Inc,제약,562010
CONXU,CONX Corp,기타 금융업,556010
WASH,Washington Trust Bancorp Inc,은행,551010
VBIV,VBI Vaccines Inc,생명과학 및 메디컬 리서치,562020
TSHA,Taysha Gene Therapies Inc,생명과학 및 메디컬 리서치,562020
EBSB,Meridian Bancorp Inc (MARYLAND),은행,551010
APOG,Apogee Enterprises Inc,주택건설,532030
HIBB,Hibbett Sports Inc,전문품 상점,534030
CRMT,America's CAR-MART Inc,전문품 상점,534030
CARA,Cara Therapeutics Inc,생명과학 및 메디컬 리서치,562020
GLDD,Great Lakes Dredge & Dock Corp,건설 및 엔지니어링,522010
TWCT,TWC Tech Holdings II Corp,기타 금융업,556010
OFIX,Orthofix Medical Inc,헬스케어 장비 및 용품,561010
ICHR,Ichor Holdings Ltd,반도체 및 반도체 장비,571010
ETAC,E.Merge Technology Acquisition Corp Class A,기타 금융업,556010
WETF,Wisdom Tree Investments Inc,투자은행 및 서비스,551020
MGIC,Magic Software Enterprises Ltd,소프트웨어 및 IT서비스,572010
PAHC,Phibro Animal Health Corp Class A,제약,562010
STFC,State Auto Financial Corp,보험,553010
TARS,Tarsus Pharmaceuticals  Inc.,생명과학 및 메디컬 리서치,562020
SLRC,Solar Capital Ltd,다양한 금융서비스,555010
FHTX,Foghorn Therapeutics Inc.,생명과학 및 메디컬 리서치,562020
UEIC,Universal Electronics Inc,"컴퓨터, 전화 및 가전제품",571060
TIG,Trean Insurance Group Inc,보험,553010
VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
NWLI,National Western Life Group Inc Class A,보험,553010
GTHX,G1 Therapeutics Inc,생명과학 및 메디컬 리서치,562020
ATNI,ATN International Inc,통신 서비스,574010
GOSS,Gossamer Bio Inc,생명과학 및 메디컬 리서치,562020
AINV,Apollo Investment Corp,투자은행 및 서비스,551020
HMST,HomeStreet Inc,은행,551010
PLAB,Photronics Inc,반도체 및 반도체 장비,571010
LMAT,LeMaitre Vascular Inc,헬스케어 장비 및 용품,561010
LIND,Lindblad Expeditions Holdings Inc,호텔 및 엔터테인먼트,533010
ESTA,Establishment Labs Holdings Inc,헬스케어 장비 및 용품,561010
SFT,Shift Technologies  Inc. Class A,소프트웨어 및 IT서비스,572010
XENT,Intersect Ent Inc,헬스케어 장비 및 용품,561010
BOOM,DMC Global Inc,메탈&마이닝,512010
NCBS,Nicolet Bankshares Inc,은행,551010
CLDX,Celldex Therapeutics Inc,생명과학 및 메디컬 리서치,562020
PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,533010
NTUS,Natus Medical Inc,헬스케어 장비 및 용품,561010
ABTX,Allegiance Bancshares Inc,은행,551010
BTWNU,Bridgetown Holdings Ltd,기타 금융업,556010
SCSC,Scansource Inc,"컴퓨터, 전화 및 가전제품",571060
COGT,Cogent Biosciences Inc,생명과학 및 메디컬 리서치,562020
SP,SP Plus Corp,운송 인프라,524070
TCPC,BlackRock TCP Capital Corp,투자은행 및 서비스,551020
BCOV,Brightcove Inc,소프트웨어 및 IT서비스,572010
WTRE,Watford Holdings Ltd,보험,553010
SPPI,Spectrum Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
ADTN,ADTRAN Inc,커뮤니케이션 및 네트워킹,571020
SOHU,Sohu.com Ltd ADR,소프트웨어 및 IT서비스,572010
HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,571020
WINA,Winmark Corp,전문품 상점,534030
KNDI,Kandi Technologies Group Inc,자동차 및 자동차 부품,531010
FPRX,Five Prime Therapeutics Inc,생명과학 및 메디컬 리서치,562020
IIVIP,II-VI Inc Convertible Preference Shares Series A,전자 장비 및 부품,571040
FOSL,Fossil Group Inc,섬유 및 의류,532020
MNKD,MannKind Corp,생명과학 및 메디컬 리서치,562020
OBNK,Origin Bancorp Inc,은행,551010
CLCT,Collectors Universe Inc,전문 및 상업 서비스,522030
CCD,Calamos Dynamic Convertible and Income Fund,다양한 금융서비스,555010
CRDF,Cardiff Oncology Inc,생명과학 및 메디컬 리서치,562020
ICLK,iClick Interactive Asia Group Ltd ADR,미디어 및 출판,533020
QIWI,Qiwi PLC ADR,전문 및 상업 서비스,522030
ERII,Energy Recovery Inc,"건설장비 및 대형차, 기차, 배",521020
AOSL,Alpha and Omega Semiconductor Ltd,반도체 및 반도체 장비,571010
HBNC,Horizon Bancorp Inc,은행,551010
VSPRU,Vesper Healthcare Acquisition Corp,기타 금융업,556010
QTNT,Quotient Ltd,헬스케어 장비 및 용품,561010
COWN,Cowen Inc Class A,투자은행 및 서비스,551020
USAT,USA Technologies Inc,핀테크,573010
PLCE,Children's Place Inc,전문품 상점,534030
GRSV,Gores Holdings V Inc,기타 금융업,556010
MERC,Mercer International Inc,종이 및 임산물,513010
GSBC,Great Southern Bancorp Inc,은행,551010
PFBC,Preferred Bank,은행,551010
ARLP,Alliance Resource Partners LP Unit,석유,501010
CRIS,Curis Inc,생명과학 및 메디컬 리서치,562020
AXGN,AxoGen Inc,헬스케어 장비 및 용품,561010
CTBI,Community Trust Bancorp Inc,은행,551010
WIFI,Boingo Wireless Inc,통신 서비스,574010
IMTX,Immatics NV,생명과학 및 메디컬 리서치,562020
LOCO,El Pollo Loco Holdings Inc,호텔 및 엔터테인먼트,533010
DUO,Fangdd Network Group Ltd ADR,부동산 운영 관리,601010
CFII,CF Finance Acquisition Corp II Class A,기타 금융업,556010
COLL,Collegium Pharmaceutical Inc,제약,562010
MDXG,MiMedx Group Inc,헬스케어 장비 및 용품,561010
AKUS,Akouos Inc,생명과학 및 메디컬 리서치,562020
SPTN,SpartanNash Co,식품 및 약품소매,543010
RDUS,Radius Health Inc,생명과학 및 메디컬 리서치,562020
VFF,Village Farms International Inc,식품 및 담배,541020
HSTM,HealthStream Inc,소프트웨어 및 IT서비스,572010
AGEN,Agenus Inc,생명과학 및 메디컬 리서치,562020
BCOR,Blucora Inc,투자은행 및 서비스,551020
GOGL,Golden Ocean Group Ltd,화물 및 물류 서비스,524050
ISEE,Iveric Bio Inc,생명과학 및 메디컬 리서치,562020
APXT,Apex Technology Acquisition Corp Class A,기타 금융업,556010
